"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"NPM1","NPM1",24,"CG48",214,-0.104102777012378,0.932326463383996,0.0637325249761975,0.125627251562593,-0.0431246467953255,0.973240091264527,"PRT"
"NPM1","NPM1",24,"PB",91,-0.0717872109955747,1.01354955152275,0.10624886261276,0.211081910331503,-0.0632067079343805,1.09403206258697,"PRT"
"NPM1","NPM1",24,"SP",145,0.00277513771785564,0.840956087958791,0.0698376018604618,0.138039262494782,0.0770142340588791,0.881451524391938,"PRT"
"NRP1","NRP1",24,"CG32",163,0.205236441010806,3.08099058885137,0.241321807503238,0.476541982764306,-0.0352851450767773,3.04013939187026,"PRT"
"NRP1","NRP1",24,"CG48",171,0.195847097090246,2.64736321393779,0.202448924849156,0.399637560094159,0.0302467653814666,2.79787663704098,"PRT"
"NRP1","NRP1",24,"PB",69,-0.24846183345461,2.55245502018856,0.307279475068454,0.61316664576517,-0.130997389070082,2.79355040017719,"PRT"
"NRP1","NRP1",24,"SP",116,-0.379096657998926,2.62900582881639,0.24409706322575,0.483509303598884,-0.102025284291313,2.82367643056058,"PRT"
"NSF","NSF",24,"CG32",143,0.00983927006106636,2.23853264489099,0.187195503843013,0.370050129955509,0.138068879491872,2.20830599718268,"PRT"
"NSF","NSF",24,"CG48",147,0.0917388205211454,1.85279539746123,0.152815988782506,0.302017215382762,0.0297377686363767,2.24848252910755,"PRT"
"NSF","NSF",24,"PB",65,0.0388014435098763,1.89331865491186,0.23483727685479,0.469141391912028,-0.0116098449672926,2.30368304400659,"PRT"
"NSF","NSF",24,"SP",98,0.202737291754306,2.1366145327621,0.215830660699687,0.428364116543385,0.256098021250049,2.32538402590929,"PRT"
"NUCB2","NUCB2",24,"CG32",171,-0.220610063109491,1.26663093272243,0.0968616883245568,0.191206591082019,-0.079413347205989,0.90945299557468,"PRT"
"NUCB2","NUCB2",24,"CG48",166,0.0901103155008928,1.07457997127639,0.0834035809619669,0.164675835964412,0.0894350605131606,1.01353096210493,"PRT"
"NUCB2","NUCB2",24,"PB",82,-0.0981352947346579,0.706273732168077,0.0779948860698982,0.155185358112856,-0.00873350050608046,0.824452582050223,"PRT"
"NUCB2","NUCB2",24,"SP",113,0.0312921287093377,1.03724426325036,0.0975757324050779,0.193333806003334,0.117458356478334,0.912378690919425,"PRT"
"NUMA1","NUMA1",24,"CG32",184,-0.0476605836366356,1.40732287768162,0.103749219013459,0.204698445299636,0.00361252450928262,1.09067767660043,"PRT"
"NUMA1","NUMA1",24,"CG48",188,-0.074949591296531,1.50137434521025,0.109498978049625,0.216012032125056,0.0144511341339939,1.19708714812768,"PRT"
"NUMA1","NUMA1",24,"PB",89,-0.00641488922147134,1.3610115307378,0.144266933724628,0.286700215221224,0.00372135332277068,1.01201399395805,"PRT"
"NUMA1","NUMA1",24,"SP",130,-0.0289382937818732,1.78829069750202,0.15684346970963,0.310318646149087,-0.107698029945434,1.32776732358402,"PRT"
"NUP133","NUP133",24,"CG32",149,-0.232080278286083,1.76075616393206,0.14424676537438,0.285049277687336,-0.161764279578264,1.01859793832953,"PRT"
"NUP133","NUP133",24,"CG48",149,-0.111554557781161,1.36059085386006,0.111463945824842,0.220266410571413,-0.0533041242387213,0.996724523490391,"PRT"
"NUP133","NUP133",24,"PB",77,0.112123839282435,2.06960226056547,0.235853066656211,0.469742092759873,0.00207524699869666,0.977232493159248,"PRT"
"NUP133","NUP133",24,"SP",83,-0.205973434572678,1.60805763242191,0.176507256043565,0.35112915991672,-0.140155664853683,0.906938604164579,"PRT"
"NUP98","NUP98",24,"CG32",154,0.158856275293172,1.97827743038305,0.159414138261578,0.314937027624481,0.0300929727642067,1.42732053133173,"PRT"
"NUP98","NUP98",24,"CG48",143,0.0381780136263894,1.86327982818011,0.1558152868723,0.30801737206522,0.124809926053343,1.90095771747765,"PRT"
"NUP98","NUP98",24,"PB",74,0.393800689200241,1.88062787388424,0.218618549694852,0.435706141208049,0.368011056008759,1.45682618226099,"PRT"
"NUP98","NUP98",24,"SP",87,0.0716988607336752,1.92477426444402,0.206357461564363,0.41022505655645,-0.0108060153851888,1.45798140455077,"PRT"
"NXF1","NXF1",24,"CG32",166,-0.133428816065209,1.11024453527127,0.0861716879713377,0.170141312752692,-0.198684427021218,0.995847204533014,"PRT"
"NXF1","NXF1",24,"CG48",154,-0.110931649888449,1.02592768409352,0.0826716087271932,0.163325229527346,-0.0644047744133065,0.903949706415546,"PRT"
"NXF1","NXF1",24,"PB",61,-0.15220036271437,1.16501101806516,0.14916437584051,0.298373176115888,-0.120986996380164,1.36358350322656,"PRT"
"NXF1","NXF1",24,"SP",107,-0.0475334291350918,1.30086281288901,0.125759154846239,0.249329756040097,-0.124067473651859,1.06002750693783,"PRT"
"OGDH","OGDH",24,"CG32",165,-0.0436767897850982,2.03308305518689,0.158275301185568,0.312520054695317,-0.108263145675682,2.54403012284854,"PRT"
"OGDH","OGDH",24,"CG48",149,0.151307803498515,2.02609853971725,0.165984459785339,0.328005624572133,0.0259711501462583,2.45251385544755,"PRT"
"OGDH","OGDH",24,"PB",62,-0.121498427072968,1.52098225885174,0.193164940039208,0.386257169896533,0.154056185229969,1.84742388900737,"PRT"
"OGDH","OGDH",24,"SP",115,-0.00827472116781343,1.95128118386993,0.181957908618756,0.36045721552955,-0.0569695387701721,1.98766973400926,"PRT"
"OIT3","OIT3",24,"CG32",192,-0.141744760827434,1.34217194916048,0.0968629170183209,0.191058422036613,-0.0249059670959859,1.19091399695583,"PRT"
"OIT3","OIT3",24,"CG48",194,-0.0651238506608417,1.39500389596219,0.100155442840959,0.197539752418573,-0.0428562695247265,1.21182197303057,"PRT"
"OIT3","OIT3",24,"PB",87,-0.25711711397522,1.07844639548881,0.115621589875419,0.229848113493085,-0.355777391082349,1.24172347585227,"PRT"
"OIT3","OIT3",24,"SP",129,0.0709494100961217,1.45922630718356,0.128477712469396,0.254215104517039,-0.00432856175138596,1.30881523447848,"PRT"
"OLFM1","OLFM1",24,"CG32",154,0.0914494086574081,1.0036476541154,0.0808762327476388,0.159778302130345,0.0641718628044305,1.02551471528461,"PRT"
