"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"LRBA","PB",62,"0.26 (0.26)",0.605101491217606
"LRBA","SP",101,"0.02 (0.18)",0.681422601664598
"LRG1","CG32",216,"0.03 (0.06)",0.817089707629189
"LRG1","CG48",214,"-0.01 (0.07)",0.710690531328198
"LRG1","PB",91,"0.02 (0.09)",0.74318270779578
"LRG1","SP",146,"-0.08 (0.07)",0.303027686146347
"LRP1","CG32",195,"-0.04 (0.14)",0.451790923999882
"LRP1","CG48",195,"-0.14 (0.11)",0.0339146525891796
"LRP1","PB",87,"0.1 (0.22)",0.805645323912902
"LRP1","SP",132,"0.21 (0.16)",0.255318629798082
"LRPPRC","CG32",164,"-0.29 (0.27)",0.270786346280465
"LRPPRC","CG48",168,"-0.19 (0.26)",0.713913098353485
"LRPPRC","PB",72,"-0.08 (0.33)",0.568617753104066
"LRPPRC","SP",108,"0.34 (0.31)",0.667378226447242
"LTA4H","CG32",135,"0.48 (0.37)",0.615235093393045
"LTA4H","CG48",135,"-0.91 (0.38)",0.00962811247022449
"LTA4H","PB",68,"-0.15 (0.48)",0.351086748590186
"LTA4H","SP",77,"-0.31 (0.5)",0.219920716688417
"LTF","CG32",216,"0.24 (0.11)",0.034644075447353
"LTF","CG48",214,"0.26 (0.1)",0.00770377624140691
"LTF","PB",91,"-0.58 (0.22)",0.0513869561262015
"LTF","SP",146,"-0.28 (0.08)",0.00172806326631926
"LUM","CG32",216,"-0.09 (0.11)",0.399075323253117
"LUM","CG48",214,"0.07 (0.11)",0.0714319966267851
"LUM","PB",91,"0.09 (0.18)",0.331458052503345
"LUM","SP",146,"-0.26 (0.12)",0.142594575490705
"LYVE1","CG32",216,"0.03 (0.08)",0.701831589893684
"LYVE1","CG48",210,"0.01 (0.07)",0.795309175888506
"LYVE1","PB",88,"0.06 (0.1)",0.605985305767946
"LYVE1","SP",145,"0.05 (0.09)",0.404034726149097
"LYZ","CG32",199,"0.08 (0.07)",0.475905386291833
"LYZ","CG48",201,"-0.06 (0.06)",0.629758513192484
"LYZ","PB",86,"-0.08 (0.14)",0.939318341923076
"LYZ","SP",139,"0.08 (0.09)",0.284437922306507
"MACF1","CG32",180,"-0.21 (0.18)",0.43835151930523
"MACF1","CG48",176,"0.15 (0.17)",0.201201285883422
"MACF1","PB",81,"0.36 (0.21)",0.0933016608064737
"MACF1","SP",107,"0.23 (0.2)",0.631261558130757
"MAN2A1","CG32",216,"-0.05 (0.03)",0.180604951027384
"MAN2A1","CG48",214,"-0.08 (0.04)",0.0178413389817063
"MAN2A1","PB",91,"0.16 (0.06)",0.0197496817599341
"MAN2A1","SP",146,"-0.02 (0.04)",0.528282785561724
"MAP1B","CG32",189,"0.04 (0.19)",0.565998824411497
"MAP1B","CG48",195,"-0.03 (0.16)",0.81057069548603
"MAP1B","PB",83,"-0.06 (0.2)",0.941949559640426
"MAP1B","SP",126,"-0.01 (0.23)",0.587464293171674
"MASP1","CG32",216,"-0.1 (0.06)",0.0139158252668098
"MASP1","CG48",214,"-0.13 (0.06)",0.0593989333609272
"MASP1","PB",91,"0.05 (0.08)",0.913032877290175
"MASP1","SP",146,"0.02 (0.07)",0.90610351987894
"MASP2","CG32",216,"0 (0.05)",0.865390227833778
"MASP2","CG48",214,"-0.05 (0.05)",0.429189189364875
"MASP2","PB",91,"0 (0.07)",0.443173310469923
"MASP2","SP",146,"-0.05 (0.04)",0.0950859895399031
"MBL2","CG32",205,"0.17 (0.09)",0.608430996720702
"MBL2","CG48",195,"0.42 (0.1)",0.00516778959706979
"MBL2","PB",84,"-0.34 (0.19)",0.0810560808694569
"MBL2","SP",140,"-0.02 (0.09)",0.730835978383937
"MCAM","CG32",189,"-0.04 (0.21)",0.685971231229939
"MCAM","CG48",202,"-0.02 (0.27)",0.652037593396488
"MCAM","PB",81,"-0.21 (0.3)",0.810744836887067
"MCAM","SP",127,"-0.01 (0.31)",0.79066207407059
"MED30","CG32",147,"0 (0.04)",0.872428711327746
"MED30","CG48",152,"0.08 (0.04)",0.0526712575322219
"MED30","PB",75,"0.04 (0.06)",0.522345917620791
"MED30","SP",88,"-0.01 (0.06)",0.649486939067313
"METTL18","CG32",216,"-0.06 (0.04)",0.0659408773612096
"METTL18","CG48",214,"-0.1 (0.04)",0.0159460333339691
"METTL18","PB",91,"-0.05 (0.06)",0.94850137488986
"METTL18","SP",146,"0.04 (0.05)",0.581254146763037
"MFGE8","CG32",188,"-0.08 (0.05)",0.391552521820104
"MFGE8","CG48",192,"-0.04 (0.05)",0.312570128684679
"MFGE8","PB",80,"0.13 (0.11)",0.612375908724312
"MFGE8","SP",139,"-0.05 (0.07)",0.606793826750232
"MGLL","CG32",151,"0.02 (0.11)",0.335978088590368
"MGLL","CG48",150,"0.14 (0.12)",0.145685233035642
"MGLL","PB",54,"0.06 (0.22)",0.368156338479594
"MGLL","SP",120,"0.03 (0.12)",0.562217628278707
"MINPP1","CG32",158,"0.11 (0.16)",0.604482386106758
"MINPP1","CG48",153,"0.05 (0.19)",0.251211099876076
"MINPP1","PB",70,"0.24 (0.21)",0.358271696227658
"MINPP1","SP",104,"-0.35 (0.21)",0.0808774188757382
"MMP2","CG32",163,"0.25 (0.23)",0.184477450172727
"MMP2","CG48",171,"-0.16 (0.22)",0.167719396747589
"MMP2","PB",64,"-0.41 (0.38)",0.458943451216195
"MMP2","SP",116,"0.14 (0.23)",0.387574730855296
"MMP8","CG32",112,"0.36 (0.25)",0.452699185832543
"MMP8","CG48",116,"-0.22 (0.27)",0.895567629397851
"MMP8","PB",34,"-0.53 (0.41)",0.0918272265587814
"MMP8","SP",97,"-0.09 (0.28)",0.99926692307109
"MMP9","CG32",165,"-0.01 (0.14)",0.537137605069109
"MMP9","CG48",155,"-0.24 (0.17)",0.095256748186215
"MMP9","PB",71,"0.25 (0.2)",0.895586181019567
"MMP9","SP",118,"-0.05 (0.18)",0.314274608938627
"MNDA","CG32",216,"0.12 (0.05)",0.0608285128330007
"MNDA","CG48",213,"0.12 (0.05)",0.0630523326454803
"MNDA","PB",91,"-0.03 (0.07)",0.892572831275532
"MNDA","SP",146,"0 (0.06)",0.95428235710234
"MPO","CG32",214,"0.17 (0.12)",0.149157347121007
"MPO","CG48",211,"0.05 (0.11)",0.773870018923241
"MPO","PB",90,"-0.08 (0.22)",0.715716615122923
"MPO","SP",146,"-0.26 (0.14)",0.132473989664063
"MRPS25","CG32",128,"0.08 (0.09)",0.243966800638213
"MRPS25","CG48",127,"-0.01 (0.09)",0.462598990189907
"MRPS25","PB",60,"-0.17 (0.13)",0.0777328071954979
"MRPS25","SP",86,"0.05 (0.12)",0.552848937698992
"MSH2","CG32",153,"0.05 (0.08)",0.697904956121008
"MSH2","CG48",153,"0.01 (0.08)",0.373381029620323
"MSH2","PB",74,"0.02 (0.1)",0.39914658912459
"MSH2","SP",102,"-0.19 (0.12)",0.18190295499646
"MSL1","CG32",216,"-0.14 (0.07)",0.241817722188115
"MSL1","CG48",212,"-0.22 (0.08)",0.0410831422409753
"MSL1","PB",90,"-0.14 (0.14)",0.383695521621036
"MSL1","SP",145,"0.02 (0.11)",0.611955024436802
"MSN","CG32",216,"0.16 (0.18)",0.487258286142415
"MSN","CG48",213,"0.05 (0.16)",0.971818719103428
"MSN","PB",91,"-0.05 (0.23)",0.601264898857097
"MSN","SP",145,"0.37 (0.2)",0.119638817719133
"MST1","CG32",215,"0.05 (0.1)",0.814828954466787
"MST1","CG48",212,"-0.06 (0.1)",0.749162433216688
"MST1","PB",91,"0.16 (0.14)",0.069261872234677
"MST1","SP",146,"-0.08 (0.13)",0.360032887986089
"MST1L","CG32",211,"-0.15 (0.14)",0.513770075133776
"MST1L","CG48",207,"-0.11 (0.14)",0.531259038895296
"MST1L","PB",88,"0.38 (0.24)",0.284317348526207
"MST1L","SP",143,"0.04 (0.13)",0.986054315320295
"MTHFD1","CG32",128,"0.5 (0.26)",0.406121990464676
"MTHFD1","CG48",127,"0.12 (0.24)",0.601185102844246
"MTHFD1","PB",50,"0.06 (0.42)",0.131515537425894
"MTHFD1","SP",83,"-0.32 (0.3)",0.995255811130908
"MTREX","CG32",175,"0.05 (0.07)",0.71060560843099
"MTREX","CG48",177,"-0.22 (0.06)",0.0109764813771273
"MTREX","PB",77,"0.17 (0.13)",0.0990962236710156
"MTREX","SP",130,"-0.14 (0.08)",0.300232656619509
"MVP","CG32",159,"0.12 (0.21)",0.836818216818803
"MVP","CG48",159,"-0.17 (0.2)",0.290512828910028
"MVP","PB",45,"-0.28 (0.27)",0.444407954125305
"MVP","SP",106,"0.08 (0.25)",0.627138047430893
"MX1","CG32",212,"0.09 (0.07)",0.196089356396416
"MX1","CG48",206,"0.04 (0.08)",0.537581779430669
"MX1","PB",87,"-0.16 (0.11)",0.932587039785043
"MX1","SP",142,"-0.02 (0.12)",0.926618638706955
"MYH10","CG32",128,"0.11 (0.29)",1
"MYH10","CG48",146,"0.49 (0.28)",0.0587440680444629
"MYH10","PB",43,"-0.02 (0.72)",0.812933609883747
"MYH10","SP",97,"-0.16 (0.28)",0.794746910419475
"MYH11","CG32",203,"0.2 (0.18)",0.457230938776436
"MYH11","CG48",205,"-0.01 (0.19)",0.378769183683455
"MYH11","PB",85,"0.06 (0.27)",0.591919908680952
"MYH11","SP",137,"-0.06 (0.21)",0.891374868123691
"MYH14","CG32",181,"0.44 (0.24)",0.0585224335712933
"MYH14","CG48",183,"-0.41 (0.19)",0.119257309281837
"MYH14","PB",77,"-0.04 (0.42)",0.535572553547833
"MYH14","SP",131,"-0.25 (0.26)",0.737437062457237
"MYH9","CG32",216,"0.1 (0.11)",0.271774404864074
"MYH9","CG48",214,"0.16 (0.09)",0.0591115486910293
"MYH9","PB",91,"0.22 (0.14)",0.0671304192098539
"MYH9","SP",146,"-0.16 (0.11)",0.51713849484171
"MYL12A","CG32",172,"0.05 (0.21)",0.74509316191742
"MYL12A","CG48",163,"0.32 (0.22)",0.187855973831374
"MYL12A","PB",78,"0.36 (0.3)",0.285687512778646
"MYL12A","SP",122,"0.08 (0.25)",0.766100336689852
"MYL12B","CG32",172,"0.13 (0.21)",0.932394560865863
"MYL12B","CG48",162,"0.33 (0.21)",0.199871460112364
"MYL12B","PB",78,"0.11 (0.29)",0.674726455562232
"MYL12B","SP",122,"0.08 (0.24)",0.669899981287277
"MYL6","CG32",149,"0.02 (0.17)",0.430520804334965
"MYL6","CG48",151,"-0.12 (0.15)",0.120986877361433
"MYL6","PB",80,"-0.11 (0.23)",0.256079148204994
"MYL6","SP",97,"0.24 (0.22)",0.112051336791974
"MYL9","CG32",141,"0.26 (0.26)",0.852421132667992
"MYL9","CG48",135,"0.2 (0.29)",0.273034004092735
"MYL9","PB",63,"0.06 (0.32)",0.65973425144317
"MYL9","SP",97,"-0.17 (0.32)",0.970695569604215
"MYO1A","CG32",157,"-0.12 (0.15)",0.919881660536584
"MYO1A","CG48",120,"-0.15 (0.17)",0.242920272643166
"MYO1A","PB",49,"0.04 (0.26)",0.303344968600175
"MYO1A","SP",104,"-0.3 (0.16)",0.0221676530647403
"MYO1B","CG32",152,"0.05 (0.18)",0.817462017540488
"MYO1B","CG48",124,"-0.23 (0.2)",0.395199002932453
"MYO1B","PB",63,"0.1 (0.27)",0.954637571728661
"MYO1B","SP",102,"0.07 (0.18)",0.528267796470785
"MYOF","CG32",148,"0.31 (0.21)",0.401320183341169
"MYOF","CG48",140,"-0.14 (0.2)",0.901194390127545
"MYOF","PB",51,"-0.4 (0.35)",0.175909200567465
"MYOF","SP",97,"-0.17 (0.25)",0.483657675247629
"NAP1L1","CG32",215,"-0.11 (0.06)",0.0154029938479838
"NAP1L1","CG48",208,"-0.11 (0.05)",0.0657684832720979
"NAP1L1","PB",90,"0.14 (0.1)",0.225057477018781
"NAP1L1","SP",144,"0.01 (0.09)",0.774217977705245
"NAXE","CG32",132,"0.1 (0.11)",0.439273643170996
"NAXE","CG48",144,"-0.19 (0.1)",0.0706082758104848
"NAXE","PB",43,"-0.09 (0.17)",0.197481547144249
"NAXE","SP",111,"-0.04 (0.13)",0.304294569793322
"NCAM1","CG32",136,"-0.13 (0.27)",0.862768708139497
"NCAM1","CG48",134,"-0.69 (0.27)",0.0326473958850826
"NCAM1","PB",56,"0.31 (0.52)",0.066243271534631
"NCAM1","SP",96,"0.11 (0.36)",0.69585609487476
"NCL","CG32",186,"-0.07 (0.11)",0.854738739750919
"NCL","CG48",184,"-0.07 (0.09)",0.318083916018061
"NCL","PB",74,"0.04 (0.22)",0.453461390158741
"NCL","SP",128,"0 (0.11)",0.700695844857838
"NDUFAF3","CG32",210,"-0.02 (0.05)",0.98182370374239
"NDUFAF3","CG48",203,"-0.04 (0.05)",0.79145577882066
"NDUFAF3","PB",84,"0.01 (0.11)",0.99605352452277
"NDUFAF3","SP",139,"-0.06 (0.06)",0.313076569846247
"NID1","CG32",166,"0.1 (0.19)",0.995745135048336
"NID1","CG48",168,"-0.03 (0.18)",0.58729860082941
"NID1","PB",78,"-0.27 (0.22)",0.202368541083208
"NID1","SP",114,"-0.12 (0.19)",0.466901690215813
"NID2","CG32",184,"-0.15 (0.17)",0.595866921026522
"NID2","CG48",173,"0.15 (0.18)",0.986253431604244
"NID2","PB",71,"0.29 (0.24)",0.5042174429864
"NID2","SP",120,"-0.08 (0.18)",0.827281985735038
"NME1","CG32",129,"0.14 (0.32)",0.765920192877167
"NME1","CG48",134,"-0.25 (0.32)",0.705247992842522
"NME1","PB",47,"-0.13 (0.57)",0.658826642429374
"NME1","SP",100,"-0.47 (0.29)",0.433607377623508
"NNMT","CG32",204,"0.03 (0.07)",0.543021507023547
"NNMT","CG48",192,"0.03 (0.06)",0.832221196958781
"NNMT","PB",85,"0.07 (0.1)",0.705913437135158
"NNMT","SP",129,"-0.03 (0.08)",0.789265978047112
"NONO","CG32",178,"-0.1 (0.18)",0.674376839912397
"NONO","CG48",178,"-0.43 (0.16)",0.00606471537228021
"NONO","PB",78,"-0.19 (0.25)",0.635818661982846
"NONO","SP",115,"0.03 (0.2)",0.641376314269086
"NPM1","CG32",214,"0.04 (0.06)",0.643012209002739
"NPM1","CG48",214,"-0.1 (0.06)",0.0692252672744932
"NPM1","PB",91,"-0.07 (0.11)",0.739633360291853
"NPM1","SP",145,"0 (0.07)",0.745557015760573
"NRP1","CG32",163,"0.21 (0.24)",0.449577428800382
"NRP1","CG48",171,"0.2 (0.2)",0.335939275519535
"NRP1","PB",69,"-0.25 (0.31)",0.453539139395618
"NRP1","SP",116,"-0.38 (0.24)",0.308273534320077
"NSF","CG32",143,"0.01 (0.19)",0.524774609777267
"NSF","CG48",147,"0.09 (0.15)",0.875262573028453
"NSF","PB",65,"0.04 (0.23)",0.803008305833303
"NSF","SP",98,"0.2 (0.22)",0.692026264312965
"NUCB2","CG32",171,"-0.22 (0.1)",0.0628711600272351
"NUCB2","CG48",166,"0.09 (0.08)",0.172561868037221
"NUCB2","PB",82,"-0.1 (0.08)",0.472090343077892
"NUCB2","SP",113,"0.03 (0.1)",0.611495572755964
"NUMA1","CG32",184,"-0.05 (0.1)",0.645846354049919
"NUMA1","CG48",188,"-0.07 (0.11)",0.503000825947087
"NUMA1","PB",89,"-0.01 (0.14)",0.32596261525539
"NUMA1","SP",130,"-0.03 (0.16)",0.15494120653522
"NUP133","CG32",149,"-0.23 (0.14)",0.0348679720011399
"NUP133","CG48",149,"-0.11 (0.11)",0.333673558911056
"NUP133","PB",77,"0.11 (0.24)",0.742422051410402
"NUP133","SP",83,"-0.21 (0.18)",0.70764652109162
"NUP98","CG32",154,"0.16 (0.16)",0.73942285774808
"NUP98","CG48",143,"0.04 (0.16)",0.904447693868819
"NUP98","PB",74,"0.39 (0.22)",0.0421966971582867
"NUP98","SP",87,"0.07 (0.21)",0.716053675861833
"NXF1","CG32",166,"-0.13 (0.09)",0.00772583603988578
"NXF1","CG48",154,"-0.11 (0.08)",0.140076703950636
"NXF1","PB",61,"-0.15 (0.15)",0.295499086680671
"NXF1","SP",107,"-0.05 (0.13)",0.68634932013783
"OGDH","CG32",165,"-0.04 (0.16)",0.121332199166966
"OGDH","CG48",149,"0.15 (0.17)",0.439985250937176
"OGDH","PB",62,"-0.12 (0.19)",0.972812603532802
"OGDH","SP",115,"-0.01 (0.18)",0.481398030637991
"OIT3","CG32",192,"-0.14 (0.1)",0.168040526084077
"OIT3","CG48",194,"-0.07 (0.1)",0.504035070170569
"OIT3","PB",87,"-0.26 (0.12)",0.0906104855574193
"OIT3","SP",129,"0.07 (0.13)",0.944688117366359
"OLFM1","CG32",154,"0.09 (0.08)",0.814625674050344
"OLFM1","CG48",157,"-0.07 (0.07)",0.869886067824793
"OLFM1","PB",57,"0.06 (0.17)",0.580051024813748
"OLFM1","SP",106,"-0.06 (0.09)",0.398138302896527
"OLFM4","CG32",130,"-0.31 (0.23)",0.375835866811224
"OLFM4","CG48",138,"0.05 (0.22)",0.15527193048891
"OLFM4","PB",43,"-0.04 (0.51)",0.95299142766608
"OLFM4","SP",112,"0 (0.17)",0.692925914459868
"ORM1","CG32",216,"-0.22 (0.04)",5.33629018732421e-05
"ORM1","CG48",214,"-0.25 (0.04)",7.55412114185474e-07
"ORM1","PB",91,"0.08 (0.06)",0.438994854797188
"ORM1","SP",146,"0.01 (0.04)",0.717522567401331
"ORM2","CG32",216,"-0.03 (0.04)",0.736208454459798
"ORM2","CG48",214,"-0.05 (0.04)",0.549956764726898
"ORM2","PB",91,"-0.01 (0.08)",0.890716159490544
"ORM2","SP",146,"0.01 (0.05)",0.660277786356405
"OXCT1","CG32",117,"0.06 (0.21)",0.76367617835293
"OXCT1","CG48",115,"-0.04 (0.22)",0.761437825152364
"OXCT1","PB",50,"0 (0.29)",0.733907899841968
"OXCT1","SP",78,"-0.22 (0.25)",0.898358588346097
"P4HB","CG32",216,"0.09 (0.18)",0.58760509038205
"P4HB","CG48",214,"0.06 (0.2)",0.886598020495102
"P4HB","PB",91,"-0.17 (0.19)",0.169083394602294
"P4HB","SP",146,"0.09 (0.24)",0.794639171278233
"PAICS","CG32",160,"0.19 (0.16)",0.0819863137033523
"PAICS","CG48",155,"-0.11 (0.16)",0.91902028890826
"PAICS","PB",82,"-0.12 (0.21)",0.85627816460021
"PAICS","SP",103,"0.15 (0.2)",0.898860571991099
"PAM","CG32",186,"0 (0.08)",0.920798506726165
"PAM","CG48",186,"-0.26 (0.11)",0.133539404748266
"PAM","PB",75,"-0.06 (0.15)",0.837853987933935
"PAM","SP",128,"-0.01 (0.11)",0.29034187218377
"PANK4","CG32",179,"0.1 (0.1)",0.730039325439478
"PANK4","CG48",175,"0.05 (0.1)",0.819196810536773
"PANK4","PB",63,"-0.07 (0.22)",0.786983595985933
"PANK4","SP",130,"0.11 (0.1)",0.25074975239714
"PAPSS1","CG32",190,"-0.09 (0.08)",0.515675721047703
"PAPSS1","CG48",192,"0.04 (0.08)",0.815107383938365
"PAPSS1","PB",75,"-0.02 (0.13)",0.9528887228994
"PAPSS1","SP",137,"-0.03 (0.1)",0.939230428088833
"PARK7","CG32",192,"-0.06 (0.13)",0.976350180403783
"PARK7","CG48",198,"0.04 (0.12)",0.836900713349539
"PARK7","PB",90,"0 (0.18)",0.610335640706051
"PARK7","SP",125,"-0.16 (0.21)",0.930889057945523
"PCBP2","CG32",121,"0.04 (0.21)",0.69474239141019
"PCBP2","CG48",118,"-0.1 (0.18)",0.229240942002022
"PCBP2","PB",38,"0.12 (0.45)",0.91171976948581
"PCBP2","SP",92,"0.15 (0.18)",0.956656777770586
"PCCB","CG32",157,"-0.07 (0.1)",0.250008912772587
"PCCB","CG48",155,"-0.22 (0.13)",0.0995761405627751
"PCCB","PB",62,"-0.13 (0.19)",0.992068731494145
"PCCB","SP",112,"-0.08 (0.16)",0.661425524303864
"PCOLCE","CG32",164,"-0.03 (0.13)",0.991160948430954
"PCOLCE","CG48",164,"-0.08 (0.13)",0.709521654863128
"PCOLCE","PB",79,"0.09 (0.15)",0.730294579986238
"PCOLCE","SP",107,"0 (0.16)",0.851625980893934
"PCYOX1","CG32",216,"0.14 (0.09)",0.0610265099591557
"PCYOX1","CG48",214,"0.21 (0.1)",0.0175011170807768
"PCYOX1","PB",91,"-0.15 (0.15)",0.184895144920577
"PCYOX1","SP",146,"0.05 (0.12)",0.995268025544215
"PDHB","CG32",184,"-0.08 (0.1)",0.67052106354802
"PDHB","CG48",183,"-0.09 (0.09)",0.30672812604774
"PDHB","PB",89,"-0.22 (0.12)",0.492452042096386
"PDHB","SP",117,"-0.22 (0.13)",0.19004437417575
"PDIA3","CG32",138,"-0.32 (0.38)",0.895811043859164
"PDIA3","CG48",142,"0.28 (0.44)",0.739070187964164
"PDIA3","PB",61,"0.66 (0.64)",0.368308566785593
"PDIA3","SP",91,"-0.34 (0.48)",0.704630719718511
"PEBP1","CG32",113,"-0.16 (0.17)",0.735105313410743
"PEBP1","CG48",119,"-0.11 (0.16)",0.983314457615895
"PEBP1","PB",68,"0.08 (0.22)",0.313959177655153
"PEBP1","SP",87,"0.31 (0.23)",0.166146757033527
"PEPD","CG32",160,"-0.13 (0.18)",0.948895979850976
"PEPD","CG48",171,"-0.29 (0.16)",0.17088556653211
"PEPD","PB",79,"-0.19 (0.22)",0.729012988426997
"PEPD","SP",106,"-0.41 (0.25)",0.512677050391256
"PFKL","CG32",175,"0.11 (0.18)",0.905338831370037
"PFKL","CG48",174,"0.29 (0.19)",0.038576275442697
"PFKL","PB",74,"0.4 (0.26)",0.132631599365951
"PFKL","SP",122,"0.04 (0.24)",0.911728272330169
"PFKM","CG32",157,"0.01 (0.11)",0.447411987200462
"PFKM","CG48",144,"-0.2 (0.12)",0.827583131602133
"PFKM","PB",62,"0.29 (0.15)",0.0547858660024728
"PFKM","SP",98,"-0.36 (0.17)",0.0351428399567405
"PFN1","CG32",156,"-0.29 (0.17)",0.199202230036463
"PFN1","CG48",161,"-0.06 (0.16)",0.870041733256167
"PFN1","PB",80,"0.33 (0.17)",0.207656605739315
"PFN1","SP",89,"-0.28 (0.26)",0.319026227576064
"PGAM1","CG32",171,"0.09 (0.18)",0.448965681641227
"PGAM1","CG48",169,"0.03 (0.16)",0.917215386109148
"PGAM1","PB",70,"-0.26 (0.23)",0.24317715895019
"PGAM1","SP",120,"-0.08 (0.18)",0.664480312984866
"PGD","CG32",143,"0.02 (0.17)",0.757105571594833
"PGD","CG48",140,"-0.21 (0.18)",0.389236687951912
"PGD","PB",55,"0.21 (0.31)",0.709405004339488
"PGD","SP",104,"0.2 (0.16)",0.142794885683202
"PGK1","CG32",201,"-0.32 (0.18)",0.0089616738214435
"PGK1","CG48",197,"0.05 (0.16)",0.913366887992022
"PGK1","PB",87,"-0.45 (0.17)",0.0586837229478068
"PGK1","SP",132,"-0.34 (0.26)",0.217999633876618
"PGLYRP2","CG32",216,"0.04 (0.03)",0.0714022246997095
"PGLYRP2","CG48",214,"0.04 (0.03)",0.0880102821251664
"PGLYRP2","PB",91,"-0.02 (0.04)",0.787987844387974
"PGLYRP2","SP",146,"-0.05 (0.03)",0.144397967481122
"PGM1","CG32",203,"-0.01 (0.14)",0.5602628573212
"PGM1","CG48",204,"-0.04 (0.14)",0.589782054488384
"PGM1","PB",85,"0.13 (0.25)",0.335539073433925
"PGM1","SP",129,"-0.14 (0.16)",0.604893978609073
"PI16","CG32",203,"-0.16 (0.23)",0.42354063400214
"PI16","CG48",204,"0.37 (0.23)",0.073026400599732
"PI16","PB",91,"-0.12 (0.32)",0.896287931805945
"PI16","SP",136,"0.15 (0.31)",0.4371118651453
"PIGR","CG32",177,"-0.2 (0.17)",0.442781666673769
"PIGR","CG48",177,"-0.24 (0.17)",0.228751812303264
"PIGR","PB",75,"0 (0.31)",0.585060433492058
"PIGR","SP",121,"-0.14 (0.21)",0.492660063401259
"PKM","CG32",216,"-0.16 (0.1)",0.162823016744989
"PKM","CG48",214,"-0.04 (0.1)",0.603848876998589
"PKM","PB",91,"-0.45 (0.17)",0.040669977878097
"PKM","SP",146,"-0.1 (0.13)",0.609562614488953
"PLEC","CG32",216,"0.12 (0.13)",0.250742592320265
"PLEC","CG48",214,"0.13 (0.14)",0.125064069689149
"PLEC","PB",91,"-0.02 (0.21)",0.831673307465318
"PLEC","SP",146,"0.02 (0.17)",0.913417257585561
"PLG","CG32",216,"0.02 (0.02)",0.293322912390202
"PLG","CG48",214,"0.02 (0.02)",0.29297527909004
"PLG","PB",91,"-0.03 (0.03)",0.166909974973909
"PLG","SP",146,"-0.02 (0.02)",0.530008086465345
"PLGLA","CG32",216,"0.04 (0.03)",0.35488320279876
"PLGLA","CG48",214,"0.06 (0.03)",0.176675262659629
"PLGLA","PB",91,"0.03 (0.04)",0.481787115067338
"PLGLA","SP",146,"-0.05 (0.03)",0.229126821740784
"PLS3","CG32",153,"0.04 (0.31)",0.936642514395492
"PLS3","CG48",146,"-0.32 (0.33)",0.279785378561113
"PLS3","PB",66,"0.15 (0.44)",0.815945173866334
"PLS3","SP",108,"0.41 (0.39)",0.785667301548811
"PLTP","CG32",216,"-0.03 (0.1)",0.175514076312293
"PLTP","CG48",214,"0.06 (0.09)",0.415615224482487
"PLTP","PB",91,"0.21 (0.21)",0.279443910706026
"PLTP","SP",146,"0.11 (0.1)",0.699871050526316
"PLXNB2","CG32",205,"-0.09 (0.09)",0.506424111129259
"PLXNB2","CG48",206,"-0.12 (0.1)",0.540885733011407
"PLXNB2","PB",87,"0.09 (0.13)",0.277110928672569
"PLXNB2","SP",136,"-0.02 (0.09)",0.715956838833908
"PNP","CG32",141,"-0.17 (0.14)",0.411684597091279
"PNP","CG48",156,"0.17 (0.16)",0.938630582672012
"PNP","PB",55,"0.19 (0.28)",0.220677079253887
"PNP","SP",101,"-0.08 (0.18)",0.123465048641697
"POF1B","CG32",143,"-0.08 (0.26)",0.716284139707304
"POF1B","CG48",138,"0.23 (0.25)",0.892036344936664
"POF1B","PB",71,"-0.13 (0.27)",0.795128276755292
"POF1B","SP",97,"-0.59 (0.33)",0.402589790314379
"PON1","CG32",216,"0.06 (0.02)",0.035577817578664
"PON1","CG48",214,"0.1 (0.02)",0.000211670155389707
"PON1","PB",91,"0 (0.04)",0.9186234915524
"PON1","SP",146,"0.01 (0.02)",0.638467859240217
"PON3","CG32",138,"0.14 (0.19)",0.840343329198454
"PON3","CG48",139,"0.22 (0.17)",0.0269430690938196
"PON3","PB",55,"-0.21 (0.26)",0.0393046889429682
"PON3","SP",98,"-0.1 (0.22)",0.960664192428883
"POSTN","CG32",214,"0.04 (0.09)",0.249378946813612
"POSTN","CG48",213,"0.1 (0.08)",0.190355974872977
"POSTN","PB",91,"0.1 (0.08)",0.0354441556856403
"POSTN","SP",146,"0.01 (0.09)",0.811969223684781
"POTEE","CG32",184,"-0.05 (0.16)",0.974742471382201
"POTEE","CG48",194,"-0.05 (0.18)",0.804601970478761
"POTEE","PB",82,"0.4 (0.32)",0.223313601967659
"POTEE","SP",128,"-0.34 (0.21)",0.136617310938409
"POTEF","CG32",180,"0 (0.16)",0.705430632081345
"POTEF","CG48",194,"0 (0.18)",0.982452844495327
"POTEF","PB",80,"0.42 (0.33)",0.150904532463121
"POTEF","SP",128,"-0.33 (0.22)",0.15216036955789
"POTEI","CG32",147,"-0.09 (0.21)",0.622277500590447
"POTEI","CG48",157,"-0.08 (0.24)",0.782071420391919
"POTEI","PB",69,"0.06 (0.41)",0.462559647282189
"POTEI","SP",114,"-0.28 (0.25)",0.164394649914844
"POTEKP","CG32",141,"0.09 (0.22)",0.402144120013846
"POTEKP","CG48",151,"0.07 (0.24)",0.467674478528426
"POTEKP","PB",72,"0.43 (0.34)",0.0478596797751798
"POTEKP","SP",86,"-0.3 (0.26)",0.15007123416273
