"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"ATRN","CG48",214,"-0.01 (0.1)",0.472300321601752
"ATRN","PB",91,"0.2 (0.14)",0.170544091423749
"ATRN","SP",146,"0.06 (0.11)",0.82939188449039
"ATXN10","CG32",196,"0.04 (0.08)",0.449758486592112
"ATXN10","CG48",190,"-0.08 (0.08)",0.308034589487362
"ATXN10","PB",84,"-0.19 (0.14)",0.409170079600379
"ATXN10","SP",132,"0.06 (0.12)",0.225565021878529
"AZGP1","CG32",216,"-0.04 (0.04)",0.54292711269276
"AZGP1","CG48",214,"0.1 (0.04)",0.00148129539996307
"AZGP1","PB",91,"0.05 (0.06)",0.798852618485636
"AZGP1","SP",146,"0.02 (0.04)",0.996319566894392
"B2M","CG32",212,"0.08 (0.1)",0.707753252643968
"B2M","CG48",212,"0.06 (0.1)",0.554899551793231
"B2M","PB",91,"-0.08 (0.17)",0.450187667481212
"B2M","SP",141,"-0.11 (0.14)",0.453433067891647
"BCAP31","CG32",166,"0.08 (0.17)",0.332085047095064
"BCAP31","CG48",159,"0 (0.16)",0.872723949202949
"BCAP31","PB",75,"-0.09 (0.18)",0.497595809627408
"BCAP31","SP",107,"0.26 (0.24)",0.494641610748316
"BCHE","CG32",216,"-0.06 (0.04)",0.141858446468252
"BCHE","CG48",214,"-0.02 (0.04)",0.663087290507433
"BCHE","PB",91,"-0.01 (0.06)",0.597999328625641
"BCHE","SP",146,"0 (0.05)",0.380441856111606
"BLMH","CG32",168,"-0.07 (0.19)",0.496653309448083
"BLMH","CG48",177,"0.38 (0.19)",0.00440932775103516
"BLMH","PB",73,"-0.07 (0.22)",0.67722132999497
"BLMH","SP",110,"0.27 (0.28)",0.444078174540436
"BLVRB","CG32",215,"0.09 (0.12)",0.964938103949697
"BLVRB","CG48",213,"-0.09 (0.13)",0.184359309190325
"BLVRB","PB",91,"0 (0.22)",0.780767369565758
"BLVRB","SP",144,"-0.28 (0.14)",0.156296119502315
"BTD","CG32",216,"-0.1 (0.1)",0.527793446066962
"BTD","CG48",214,"-0.12 (0.1)",0.324044818739623
"BTD","PB",91,"0.09 (0.16)",0.166190187540765
"BTD","SP",146,"-0.13 (0.11)",0.386194643308603
"BUB1B","CG32",142,"-0.11 (0.08)",0.130388474155505
"BUB1B","CG48",134,"-0.08 (0.08)",0.162181815843198
"BUB1B","PB",40,"0.02 (0.14)",0.863512134921261
"BUB1B","SP",109,"-0.09 (0.09)",0.412119671932416
"C1QA","CG32",216,"-0.05 (0.03)",0.322269336938828
"C1QA","CG48",214,"0 (0.03)",0.913623570774196
"C1QA","PB",91,"0.03 (0.05)",0.228705162758325
"C1QA","SP",146,"-0.02 (0.04)",0.530871809219184
"C1QB","CG32",216,"-0.08 (0.03)",0.00648246550132421
"C1QB","CG48",214,"-0.08 (0.03)",0.0676072261029404
"C1QB","PB",91,"0.06 (0.05)",0.508513046568148
"C1QB","SP",146,"-0.03 (0.04)",0.870703969359628
"C1QC","CG32",216,"-0.06 (0.02)",0.118390506877549
"C1QC","CG48",214,"-0.05 (0.02)",0.066020429222798
"C1QC","PB",91,"-0.01 (0.03)",0.372754348846304
"C1QC","SP",146,"0.03 (0.02)",0.591228589491175
"C1R","CG32",216,"-0.03 (0.07)",0.804836903109444
"C1R","CG48",214,"-0.02 (0.06)",0.355330560005146
"C1R","PB",91,"0.02 (0.08)",0.462970661586165
"C1R","SP",146,"-0.07 (0.08)",0.495220738490217
"C1RL","CG32",216,"-0.16 (0.13)",0.444711251392191
"C1RL","CG48",214,"-0.14 (0.13)",0.171270286390198
"C1RL","PB",91,"0.09 (0.21)",0.467276205583708
"C1RL","SP",146,"-0.16 (0.15)",0.389816957864786
"C1S","CG32",216,"-0.02 (0.02)",0.42028743535683
"C1S","CG48",214,"-0.04 (0.02)",0.22158566950847
"C1S","PB",91,"0.02 (0.03)",0.314217675289306
"C1S","SP",146,"-0.03 (0.02)",0.246945029979987
"C2","CG32",216,"-0.18 (0.07)",0.000170718223553685
"C2","CG48",214,"-0.08 (0.07)",0.00733710705555256
"C2","PB",91,"-0.07 (0.07)",0.704455736582246
"C2","SP",146,"-0.12 (0.08)",0.0899773855441421
"C3","CG32",216,"-0.05 (0.02)",0.0586854661478403
"C3","CG48",214,"-0.05 (0.02)",0.039515361223526
